id,question,answer
1,Mẫu thẻ Căn cước công dân theo dự thảo Luật Căn cước công dân (sửa đổi) có điểm gì mới so với mẫu cũ?,"- Thay đổi thông tin về nơi thường trú, quê quán thành nơi cư trú, nơi đăng ký khai sinh.
- Thay đổi thông tin về họ tên, chức danh, chữ ký của người cấp thẻ thành nơi cấp: Bộ Công an.
- Lược bỏ một số thông tin trên thẻ như vân tay, đặc điểm nhân dạng của người cấp thẻ.
Việc quy định như trên để bảo đảm thuận lợi, bảo đảm tính riêng tư cho công dân trong quá trình cấp, sử dụng thẻ CCCD."
2,Dịch vụ công tiêu biểu năm 2023?,"06 dịch vụ công tiêu biểu ngành Công an năm 2023:
(1) Cấp hộ chiếu phổ thông ở trong nước (tại 02 cấp Cục/Tỉnh)
(2) Cấp thị thực điện tử theo đề nghị của người nước ngoài (cấp Cục)
(3) Thông báo lưu trú (cấp Xã)
(4) Thẩm duyệt thiết kế về phòng cháy và chữa cháy (tại 02 cấp Cục/Tỉnh)
(5) Đăng ký mẫu con dấu mới (tại 02 cấp Cục/Tỉnh)
(6) Nộp phạt xử lý vi phạm giao thông (tại 03 cấp Cục/Tỉnh/Huyện)"
3,Khi bị mất hộ chiếu phổ thông có phải trình báo không?,"Có phải trình báo.
Khoản 8 Điều 1 Luật số 23/2023/QH15 quy định:
Trong thời hạn 02 ngày làm việc kể từ ngày phát hiện hộ chiếu phổ thông bị mất, phải trình báo mất theo mẫu TK05 (ban hành kèm theo Thông tư số 31/2023/TT-BCA)
Trường hợp vì lý do bất khả kháng, thời hạn nộp hoặc gửi đơn báo mất có thể dài hơn nhưng trong đơn phải giải thích cụ thể về lý do bất khả kháng."
4,Thay đổi thông tin về nhân thân trong hộ chiếu có phải xuất trình bản sao giấy khai sinh không?,"Theo quy định trước đây, khi làm thủ tục đề nghị cấp hộ chiếu phổ thông, đối với trường hợp có sự thay đổi thông tin về nhân thân so với thông tin trong hộ chiếu đã cấp lần gần nhất thì phải nộp kèm bản chụp Chứng minh nhân dân hoặc thẻ Căn cước công dân, hoặc đối với người chưa đủ 14 tuổi thì phải nộp bản sao giấy khai sinh hoặc trích lục giấy khai sinh… Tuy nhiên hiện nay, Bộ Công an có thể khai thác một phần thông tin trên Cơ sở dữ liệu quốc gia về dân cư; Cơ sở dữ liệu của Bộ Tư pháp để phục công tác cấp hộ chiếu nên không yêu cầu công dân phải nộp các giấy tờ nêu trên."
5,Danh mục dịch vụ công trực tuyến ngành Công an?,"Ngày 26/01/2023, Bộ Công an ban hành Quyết định số 430/QĐ-BCA phê duyệt danh mục dịch vụ công trực tuyến toàn trình, một phần cung cấp trên Cổng dịch vụ công Bộ Công an.
Theo đó, ngành Công an có 224 dịch vụ công trực tuyến thuộc 04 nhóm lĩnh vực lớn: Quản lý xuất nhập cảnh, Quản lý hành chính về trật tự xã hội, Phòng cháy chữa cháy và cứu nạn cứu hộ, Giao thông."
6,Thủ tục cấp hộ chiếu phổ thông ở trong nước có gì thay đổi so với trước đây hay không?,"Luật số 23/2023/QH15 quy định về phương án cải tiến, đơn giản hóa thủ tục hành chính, như: Nộp hồ sơ trực tuyến tại nhà mà không cần tới cơ quan quản lý xuất nhập; Bãi bỏ quy định nộp bản chụp Chứng minh nhân dân/Căn cước công dân; Bãi bỏ quy định nộp bản sao Giấy khai sinh hoặc trích lục khai sinh đối với người chưa đủ 14 tuổi."
7,Các phương tiện PCCC thực hiện kiểm định trước khi lắp đặt vào công trình hay sau khi thực hiện lắp đặt xong mới thực hiện công tác kiểm định?,"Điều 38 Nghị định 79/2014/NĐ-CP ngày 31/7/2014 và Thông tư 66/2014/TT-BCA ngày 16/12/2014 không quy định việc thực hiện kiểm định đối với phương tiện PCCC trước và sau khi lắp đặt, do đó cơ sở có thể đề nghị thực hiện công tác kiểm định trước khi lắp đặt hoặc sau khi lắp đặt cho công trình."
8,Các trường hợp thu hồi giấy phép về vũ khí thô sơ?,"06 trường hợp:
1. Cơ quan, tổ chức, doanh nghiệp giải thể, chuyển đổi, chia, tách, hợp nhất, sáp nhập;
2. Vũ khí thô sơ không còn nhu cầu sử dụng hoặc không còn khả năng sử dụng;
3. Không thuộc đối tượng được trang bị theo quy định của Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ.
4. Vũ khí thô sơ bị mất;
5. Tổ chức, doanh nghiệp sản xuất, kinh doanh, sửa chữa vũ khí giải thể, chuyển đổi, chia, tách, hợp nhất, sáp nhập;
6. Giấy phép cấp không đúng thẩm quyền.
Theo khoản 2 Điều 10 Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ."
9,"Các trường hợp thu hồi giấy phép, giấy xác nhận về công cụ hỗ trợ?","06 trường hợp:
1. Cơ quan, tổ chức, doanh nghiệp giải thể, chuyển đổi, chia, tách, hợp nhất, sáp nhập;
2. Công cụ hỗ trợ không còn nhu cầu sử dụng, hết hạn sử dụng hoặc không còn khả năng sử dụng;
3. Không thuộc đối tượng được trang bị theo quy định của Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ;
4. Công cụ hỗ trợ bị mất;
5. Tổ chức, doanh nghiệp sản xuất, kinh doanh, sửa chữa công cụ hỗ trợ giải thể, chuyển đổi, chia, tách, hợp nhất, sáp nhập;
6. Giấy phép, giấy xác nhận cấp không đúng thẩm quyền.
Theo khoản 2 Điều 10 Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ."
10,Có thể đăng ký chuyển thẻ Căn cước công dân qua đường bưu điện đến địa chỉ theo yêu cầu của công dân được không?,"Theo quy định tại điểm đ, khoản 1 Điều 22 Luật Căn cước công dân thì cơ quan quản lý căn cước công dân trả thẻ tại địa điểm theo yêu cầu của công dân và công dân trả phí dịch vụ chuyển phát."
